Id,GEO,File Identification,State/US-Abbreviation (USPS),Summary Level,Geographic Component,Characteristic Iteration,Characteristic Iteration File Sequence Number,Logical Record Number,Region,Division,State (FIPS),County,FIPS County Class Code,County Size Code,County Subdivision (FIPS),FIPS County Subdivision Class Code,County Subdivision Size Code,Place (FIPS),FIPS Place Class Code,Place Size Code,Census Tract,Block Group,Block,Internal Use Code,Consolidated City (FIPS),FIPS Consolidated City Class Code,Consolidated City Size Code,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),FIPS American Indian Tribal Subdivision Class Code,Tribal Census Tract,Tribal Block Group,Alaska Native Regional Corporation (FIPS),FIPS Alaska Native Regional Corporation Class Code,Metropolitan Statistical Area/Micropolitan Statistical Area,Metropolitan Statistical Area/Micropolitan Statistical Area Size Code,Metropolitan Division,Combined Statistical Area,New England City and Town Area,New England City and Town Area Size Code,New England City and Town Area Division,Combined New England City and Town Area,Metropolitan Statistical Area/Micropolitan Statistical Area Principal City Indicator,New England City and Town Area Principal City Indicator,Urban Area,Urban Area Size Code,Urban Area Type,Urban/Rural,Congressional District (111th),State Legislative District (Upper Chamber) (Year 1),State Legislative District (Lower Chamber) (Year 1),Voting District,Voting District Indicator,Reserved,ZIP Code Tabulation Area (5 digit),Subminor Civil Division (FIPS),FIPS Subminor Civil Division Class Code,School District (Elementary),School District (Secondary),School District (Unified),Area (Land),Area (Water),Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Functional Status Code,Geographic Change User Note Indicator,Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Legal/Statistical Area Description Code,Part Flag,Reserved,Urban Growth Area,State (ANSI),County (ANSI),County Subdivision (ANSI),Place (ANSI),Consolidated City (ANSI),American Indian Area/Alaska Native Area/Hawaiian Home Land (ANSI),American Indian Tribal Subdivision (ANSI),Alaska Native Regional Corporation (ANSI),Subminor Civil Division (ANSI),Congressional District (113th),Congressional District (114th),Congressional District (115th),State Legislative District (Upper Chamber) (Year 2),State Legislative District (Upper Chamber) (Year 3),State Legislative District (Upper Chamber) (Year 4),State Legislative District (Lower Chamber) (Year 2),State Legislative District (Lower Chamber) (Year 3),State Legislative District (Lower Chamber) (Year 4),American Indian Area/Alaska Native Area/Hawaiian Home Land Size Code,Combined Statistical Area Size Code,Combined NECTA Size Code,Metropolitan Micropolitan Indicator,NECTA Metropolitan Micropolitan Indicator,Public Use Microdata Area,Reserved
1600000US4523605,"Enoree CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242487,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$23605,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       4009671,$         93938,$Enoree CDP,$S,$!,$      665,$      313,$+34.6604854,$-081.9625200,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629824,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4524505,"Fairforest CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242514,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$24505,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       5418124,$         14517,$Fairforest CDP,$S,$!,$     1693,$      683,$+34.9469625,$-082.0189060,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629825,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4525360,"Fingerville CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242526,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$25360,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$        633092,$             0,$Fingerville CDP,$S,$!,$      134,$       70,$+35.1350765,$-082.0004085,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629826,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4529275,"Glendale CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242649,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$29275,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$        550320,$             0,$Glendale CDP,$S,$!,$      307,$      129,$+34.9450779,$-081.8363731,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629828,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4530220,"Gramling CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242683,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$30220,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       2599945,$         22528,$Gramling CDP,$S,$!,$       86,$       44,$+35.0775247,$-082.1345966,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02629829,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4530985,"Greer city, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242729,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$30985,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$      53449342,$       5405661,$Greer city,$A,$!,$    25515,$    11127,$+34.9347350,$-082.2319799,$25,$ ,$      ,$     ,$01779799,$        ,$        ,$02403758,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4535755,"Inman city, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242839,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$35755,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       3718608,$         10726,$Inman city,$A,$!,$     2321,$     1134,$+35.0477859,$-082.0924956,$25,$ ,$      ,$     ,$01779799,$        ,$        ,$02404762,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4535800,"Inman Mills CDP, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0242844,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$35800,$U1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       2949589,$             0,$Inman Mills CDP,$S,$!,$     1050,$      404,$+35.0410162,$-082.1021751,$57,$ ,$      ,$     ,$01779799,$        ,$        ,$02402615,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4540075,"Landrum city, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0243002,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$40075,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$       6936837,$         20048,$Landrum city,$A,$!,$     2376,$     1191,$+35.1750930,$-082.1857266,$25,$ ,$      ,$     ,$01779799,$        ,$        ,$02404882,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
1600000US4543315,"Lyman town, South Carolina",$PLST  ,$SC,$160,$00,$000,$  ,$0243117,$3,$5,$45,$   ,$  ,$  ,$     ,$  ,$  ,$43315,$C1,$  ,$      ,$ ,$    ,$  ,$     ,$  ,$  ,$    ,$     ,$  ,$ ,$   ,$     ,$  ,$      ,$ ,$     ,$  ,$     ,$  ,$     ,$   ,$     ,$  ,$     ,$   ,$N,$N,$     ,$  ,$ ,$ ,$  ,$   ,$   ,$      ,$ ,$   ,$     ,$     ,$  ,$     ,$     ,$     ,$      15478959,$       1514099,$Lyman town,$A,$!,$     3243,$     1497,$+34.9682078,$-082.1369547,$43,$ ,$      ,$     ,$01779799,$        ,$        ,$02406063,$        ,$        ,$        ,$        ,$        ,$  ,$  ,$  ,$   ,$   ,$   ,$   ,$   ,$   ,$  ,$  ,$  ,$ ,$ ,$     ,$                  
